source_center,destination_center,trip_count,weight,pct_sla_breach,median_actual_time,median_osrm_time,delay_iqr,avg_distance,is_chronic,delay_severity_norm,volume_norm,sla_breach_corr_norm,variability_norm,corridor_risk_score
IND700136AAG,IND712310AAA,50,4.611111111111111,1.0,72.0,18.5,1.8381578947368422,18.56688,1,0.642049157438326,0.008054772452678213,1.0,0.3246087254115636,0.5412942286296564
IND571124AAA,IND570020AAA,20,4.205329153605016,1.0,101.0,24.5,3.3223809523809518,32.733395,1,0.5801824392367704,0.002013693113169553,1.0,0.5867144761459331,0.5412478465875938
IND781124AAA,IND781018AAB,16,4.880208333333334,1.0,120.0,27.5,0.9870493358633787,25.270087500000002,1,0.6830765163637007,0.0012082158679017317,1.0,0.17430756506301767,0.5409634170187575
IND411014AAA,IND411043AAA,14,4.512820512820513,1.0,71.5,15.0,2.2377828054298643,15.355142857142857,1,0.6270634819201745,0.0008054772452678212,1.0,0.395180319546214,0.5405447940340082
IND834002AAB,IND827013AAA,169,4.363636363636363,1.0,222.0,53.0,2.131247686042207,66.45764497041421,1,0.6043184250072485,0.03201772049939589,1.0,0.3763667946498954,0.5373684795927379
IND786181AAC,IND792120AAB,26,4.4207459207459205,1.0,142.5,31.0,2.0438544891640866,42.805757692307694,1,0.6130255171067279,0.003221908981071285,1.0,0.3609336295613708,0.5321090470440961
IND411014AAA,IND411048AAA,12,4.285714285714286,1.0,64.0,15.0,2.5325821428571413,13.99215,1,0.5924381943875506,0.0004027386226339106,1.0,0.4472402853676713,0.5317999909474459
IND530012AAA,IND764020AAC,15,4.714285714285714,1.0,350.0,70.0,0.9654293213348328,101.67111333333332,1,0.6577794627958891,0.0010068465565847766,1.0,0.17048958763051017,0.5304124555205528
IND796009AAA,IND796321AAB,13,4.6484375,1.0,563.0,128.0,1.1908396946564883,141.68096153846153,1,0.6477400491602329,0.0006041079339508659,1.0,0.2102958383274682,0.5302766304803277
IND798601AAA,IND785001AAA,40,3.7449589883800414,1.0,192.5,42.0,4.202568023518763,60.13787,1,0.5099930413260727,0.006041079339508659,1.0,0.7421507442183701,0.5297225607871433
IND507159AAA,IND507002AAA,11,3.52,1.0,88.0,18.0,4.898238235294111,25.0821,1,0.4756951281646527,0.0002013693113169553,1.0,0.8650023346055591,0.5268286270542463
IND211002AAB,IND211011AAA,26,4.526785714285714,1.0,32.0,7.0,1.375,10.294323076923076,1,0.629192657867241,0.003221908981071285,1.0,0.24281755050471293,0.5267642954426355
IND400102AAC,IND400052AAA,11,4.214285714285714,1.0,46.0,10.0,2.4707198412698377,10.925036363636364,1,0.581547982986161,0.0002013693113169553,1.0,0.43631573806584373,0.526301109328878
IND742225AAA,IND742223AAA,32,4.619047619047619,1.0,36.0,8.5,0.8571428571428568,12.4566375,1,0.6432591809273693,0.004430124848973017,1.0,0.1513667847302106,0.523547882056212
IND274301AAB,IND273014AAB,30,4.416666666666666,1.0,142.0,36.0,1.4525861387703491,41.43983,1,0.612403581956765,0.004027386226339106,1.0,0.2565188422642292,0.5216201635657137
IND792121AAB,IND786181AAC,25,3.6538461538461537,1.0,78.0,26.0,3.9588999999999936,31.424664000000003,1,0.49610170891371835,0.0030205396697543293,1.0,0.6991202914131683,0.5191078476242428
IND400015AAB,IND400072AAB,12,4.497549019607844,1.0,63.5,17.0,1.0119395310571777,17.741041666666668,1,0.6247351448671624,0.0004027386226339106,1.0,0.17870303868377582,0.517865046470901
IND415408AAC,IND416012AAA,13,3.857142857142857,1.0,163.0,48.0,3.1041666666666665,49.36748461538461,1,0.5270969259792122,0.0006041079339508659,1.0,0.548179015533367,0.5158076989285093
IND848210AAA,IND842001AAA,12,4.385063559322034,1.0,234.5,47.5,1.2258474576271183,56.59983333333334,1,0.6075852786778311,0.0004027386226339106,1.0,0.21647801960250673,0.5147825980870415
IND209801AAA,IND209304AAA,25,3.347826086956522,0.96,93.0,24.0,5.219769565217385,32.72768,1,0.4494449838127811,0.0030205396697543293,0.96,0.9217830254728261,0.5127114309898336
IND571114AAA,IND570020AAA,19,4.230769230769231,1.0,152.0,48.0,1.5189008295625945,46.56648421052631,1,0.5840611086941739,0.0018123238018525976,1.0,0.2682296573774296,0.5109004901658757
IND785690AAB,IND785682AAA,70,4.209375,1.0,108.0,25.0,1.3627564102564103,31.624305714285715,1,0.5807992809523154,0.012082158679017317,1.0,0.24065539888949614,0.5094057919396301
IND370001AAA,IND370110AAA,10,3.4872549019607844,1.0,92.0,22.5,4.006658308484685,32.23501,1,0.4707027136045646,0.0,1.0,0.7075541499458965,0.5090365004364155
IND486661AAA,IND211002AAB,21,4.147540983606557,1.0,366.0,105.0,1.6124954329557908,128.38694285714286,1,0.5713718838078131,0.0022150624244865083,1.0,0.2847579572584448,0.5075783148550914
IND700026AAC,IND712311AAA,10,3.765,1.0,112.0,25.5,2.908386752136752,25.702980000000004,1,0.5130485532714195,0.0,1.0,0.5136053433266937,0.5065799556412373
IND742121AAA,IND742102AAB,25,4.142857142857143,1.0,75.0,17.0,1.4999999999999996,20.68058,1,0.5706577715847713,0.0030205396697543293,1.0,0.26489187327786856,0.505507430879134
IND000000ACB,IND712311AAA,2862,2.026579314094646,0.9989517819706499,1122.0,513.0,0.47852810327195616,725.6915826694619,1,0.24800379043460397,0.5743052758759565,0.9989517819706499,0.08450547046120924,0.5009663276816141
