source_center,destination_center,trip_count,median_actual_time,median_osrm_time,weight,delay_ratio_iqr,pct_sla_breach,avg_osrm_distance,pct_ftl,delay_Carting_afternoon,delay_Carting_eve_peak,delay_Carting_morn_peak,delay_Carting_night,delay_FTL_afternoon,delay_FTL_eve_peak,delay_FTL_morn_peak,delay_FTL_night,is_chronic_delay
IND680012AAA,IND679303AAA,55,42.0,29.0,1.4482758620689655,0.21309523809523823,0.9818181818181818,33.11486363636364,0.0,1.3,1.4630952380952382,,,,,,,1
IND68004AAA,IND678683AAA,27,78.0,36.0,2.4444444444444446,1.7514619883040932,1.0,28.637792592592593,1.0,,,,,2.888888888888889,2.3704954954954953,,,1
IND68004AAA,IND683511AAA,50,61.5,29.5,2.1775491949910553,0.6752378056447246,0.94,35.231722,0.0,,2.1775491949910553,,,,,,,1
IND680104AAA,IND679576AAA,21,50.0,33.0,1.4705882352941178,0.5710227272727273,0.8095238095238095,30.781171428571426,1.0,,,,,1.4705882352941178,1.4611005692599621,,,1
IND680307AAA,IND680712AAA,14,24.0,14.5,1.6643356643356644,0.19303405572755428,1.0,15.573257142857143,0.0,,1.6643356643356644,,,,,,,1
IND680307AAA,IND683511AAA,11,26.0,16.0,1.588235294117647,0.3055555555555558,0.9090909090909091,17.256590909090907,0.0,,1.588235294117647,,,,,,,1
IND680587AAA,IND68004AAA,39,66.0,38.0,1.75,0.4494878183831672,1.0,29.253923076923076,0.0,,1.75,,,,,,,1
IND680587AAA,IND683511AAA,29,97.0,43.0,2.375,0.5214198286413709,1.0,47.44504482758621,0.0,2.5789473684210527,2.358386075949367,,,,,,,1
IND680712AAA,IND683511AAA,36,50.5,26.5,1.587878787878788,0.18498452012383915,1.0,28.93929722222222,0.0,,1.587878787878788,,,,,,,1
IND683511AAA,IND000000ABA,47,32.0,28.0,1.1379310344827587,0.29802955665024644,0.3829787234042553,23.06904255319149,0.0,1.0689655172413792,1.1520737327188941,,,,,,,0
